Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean
28.0,8.0,7.7,401.0,,
28.0,8.0,8.2,1886.0,,
28.0,7.0,8.2,742.0,,
27.0,7.0,6.4,149.0,,
27.8,6.7,7.5,1088.0,194.0,474.0
23.4,7.2,6.5,73.0,19.0,59.0
25.4,6.7,6.3,98.0,21.0,74.0
26.3,6.3,6.5,143.0,38.0,124.0
29.0,6.6,6.9,260.0,17.0,53.0
24.6,7.1,6.3,71.0,24.0,82.0
23.5,6.9,6.3,65.0,17.0,52.0
29.0,7.3,7.1,607.0,33.0,104.0
27.0,6.1,7.0,446.0,26.0,77.0
24.0,6.9,6.4,94.0,20.0,65.0
28.7,6.8,6.8,451.0,22.0,58.0
26.3,6.0,6.6,169.0,22.0,84.0
25.7,6.5,6.7,187.0,32.0,113.0
26.8,3.4,7.8,2577.0,148825783.0,160405392.0
,,,,,
23.3,5.5,7.2,636.0,1328.0,4975.0
22.8,4.7,7.3,1088.0,28250.0,56000.0
23.3,5.3,7.2,689.0,1350.0,6025.0
21.8,4.9,7.3,1267.0,24750.0,54250.0
24.3,5.3,7.4,852.0,13775.0,26750.0
23.5,4.9,7.5,977.0,12375.0,30500.0
24.0,4.4,7.4,1256.0,25250.0,55250.0
23.5,4.8,7.2,1021.0,22875.0,43700.0
23.3,5.1,7.3,971.0,2125.0,8425.0
22.5,4.6,7.4,1284.0,21500.0,50000.0
26.0,4.0,7.4,1096.0,31750.0,57500.0
25.8,4.4,7.3,1002.0,21000.0,43750.0
,,6.9,910.0,,
,,6.5,930.0,,
,5.0,7.3,,,
,,6.7,960.0,,
30.7,4.8,7.6,295.0,4.0,9.0
20.3,7.1,7.5,293.0,9.0,19.0
20.7,7.1,7.5,316.0,13.0,22.0
20.8,6.6,7.5,274.0,14.0,24.0
20.6,4.9,7.4,407.0,51.0,120.0
28.0,4.9,8.3,603.0,4.0,5.0
23.4,5.5,7.4,138.0,4.0,6.0
25.3,5.5,8.1,625.0,4.0,6.0
31.1,5.0,7.3,305.0,4.0,12.0
26.3,5.6,8.1,552.0,4.0,6.0
22.0,7.3,7.3,402.0,4.0,32.0
24.4,7.2,7.3,99.0,26.0,57.0
23.7,7.2,7.4,102.0,25.0,56.0
24.6,7.6,7.2,72.0,24.0,57.0
23.1,7.1,7.5,131.0,239.0,413.0
21.7,5.2,2.9,682.0,16.0,30.0
18.2,7.3,7.1,47.0,15.0,48.0
18.8,7.6,7.2,52.0,16.0,36.0
23.8,8.0,6.9,64.0,23.0,49.0
17.8,7.9,7.3,46.0,12.0,29.0
18.7,7.4,7.2,53.0,14.0,32.0
18.8,7.7,7.2,55.0,15.0,63.0
21.3,6.8,2.7,1074.0,4.0,11.0
22.6,7.1,6.5,237.0,674.0,1072.0
25.2,7.8,7.2,50.0,20.0,41.0
24.8,7.3,7.3,71.0,21.0,47.0
19.9,7.3,7.0,91.0,20.0,45.0
20.7,7.4,7.1,49.0,19.0,42.0
20.6,6.5,7.1,99.0,1967.0,2722.0
21.5,7.5,5.7,50.0,10.0,23.0
17.7,5.8,6.9,68.0,197.0,463.0
17.9,6.9,7.2,44.0,14.0,33.0
23.9,7.8,7.3,93.0,264.0,444.0
18.0,6.6,7.0,66.0,29.0,63.0
18.4,7.6,7.1,53.0,23.0,53.0
18.8,7.8,7.0,47.0,8.0,35.0
24.8,7.7,7.4,128.0,25.0,56.0
19.3,7.1,7.0,54.0,20.0,43.0
20.6,7.4,7.0,69.0,17.0,87.0
20.7,7.5,7.2,58.0,21.0,46.0
18.4,3.1,7.2,401.0,22556.0,31444.0
19.1,4.7,7.2,202.0,13444.0,20056.0
19.7,2.1,7.2,303.0,39444.0,62333.0
20.1,1.8,7.2,394.0,57222.0,96944.0
17.6,7.2,6.9,55.0,26.0,56.0
22.7,7.9,7.1,55.0,23.0,50.0
17.9,6.9,6.9,52.0,1576.0,45.0
18.9,1.9,7.0,306.0,48278.0,85667.0
19.4,4.5,7.1,196.0,48611.0,43333.0
23.7,7.2,7.1,107.0,303.0,476.0
22.7,7.5,7.0,82.0,45.0,122.0
23.6,7.1,7.5,189.0,,
23.8,7.0,7.6,197.0,,
23.5,7.2,7.9,158.0,,
23.5,6.5,7.8,161.0,,
27.4,6.6,7.7,165.0,280.0,325.0
21.9,6.7,7.8,167.0,440.0,520.0
27.5,6.6,7.7,183.0,415.0,575.0
31.0,7.1,7.8,151.0,,
28.0,7.2,7.4,319.0,5.0,10.0
27.0,6.2,8.4,894.0,140.0,350.0
30.0,2.2,8.0,1835.0,10478.0,25478.0
31.0,2.0,7.7,3165.0,11498.0,15173.0
29.0,2.4,7.6,1500.0,3.0,13.0
31.0,5.9,7.2,52.0,,90.0
30.0,6.1,6.8,408.0,1300.0,3808.0
30.0,5.5,6.9,143.0,4100.0,11113.0
29.0,5.4,7.2,60.0,428.0,2309.0
29.0,5.8,7.2,34.0,855.0,3322.0
